,productCd,countryCd,label
0,85131000,Albania,portable electrical lamps designed to function by their own source of energy
1,85131000000,Albania,portable electrical lamps designed to function by their own source of energy
2,85131010,Algeria,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie: De surete pour mineurs"
3,85131090,Algeria,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie: Autres"
4,85131091,Algeria,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie : Autres : Lampes dites ""lampes-dynamos"""
5,85131092,Algeria,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie : Autres : Lampes, torches ou lampes de poche sous la forme de stylos"
6,85131093,Algeria,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie : Autres : Lampes portatives équipées pour l'émission de signaux lumineux"
7,85131099,Algeria,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
8,85131000000,Andorra,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
9,851310000000,Angola,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
10,85131000,Angola,Portable electric lamp designd to function by thr own source of energy
11,85131000,Antigua and Barbuda,Lamps
12,8513100000,Antigua and Barbuda,Portable electrical lamps designed to function by their own source of energy
13,8513100000,Azerbaijan,Portable electrical lamps designed to function by their own source of energy
14,851310000,Azerbaijan,Portable electrical lamps designed to function by their own source of energy
15,85131000,Azerbaijan,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
16,85131090,Argentina,Lamparas electricas portatiles que funcionen con su propia fuente de energia: las demás
17,85131010,Argentina,"Lamparas electricas portatiles que funcionen con su propia fuente de energia: de mano, incluidas las linternas"
18,85131000,Australia,"Portable electric lamps designed to function by their own source of energy (eg dry batteries, accumulators, magnetos) (excl. lighting equipment of 8512)"
19,8513100004,Australia,Portable electric lamps designed to function by their own source of energy (excl. lighting or signalling equipment for cycles or motor vehicles)
20,851310000000,Bahamas,Portable electrical lamps designed to function by their own source of energy
21,85131000,Bahamas,Portable electrical lamps designed to function by their own source of energy
22,85131000,Bahrain,Portable electric lamps
23,85131000,Bangladesh,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
24,85131010,Bangladesh,Miner safety lamps
25,85131020,Bangladesh,"Portable electrical lamps designed to function by their own source of energy Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12: Lamps: Solar operated lamps"
26,85131090,Bangladesh,"Portable electric lamps worked by dry batteries,accumulators,magnetors,nes"
27,8513100000,Armenia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
28,8513100000,Barbados,Portable electric lamps (function by own source of energy)
29,85131000,Bermuda,Portable electrical lamps designed to function by their own source of energy
30,8513100,Bermuda,Portable electrical lamps designed to function by their own source of energy
31,85131000,Bhutan,Portable electrical lamps designed to function by their own source of energy
32,8513101000,"Bolivia, Plurinational State of","Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía: de pilas,acumuladores,electromagneticas),de seguridad"
33,8513109000,"Bolivia, Plurinational State of","Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía: de pilas,acumuladores,electromagneticos),excepto los de la partida no 85.12"
34,85131000,Bosnia and Herzegovina,Portable electrical lamps designed to function by their own source of energy
35,851310XX,Bosnia and Herzegovina,Trade borken down at the 6-digit level
36,85131090,Brazil,"Other portable electric lamps, of piles, etc"
37,85131010,Brazil,Hand lamps
38,85131000,Belize,Portable electric lamps (function by own source of energy).
39,8513100000,Belize,Portable electrical lamps designed to function by their own source of energy
40,85131000,Solomon Islands,"table electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 8512.00.00."
41,8513100000,Brunei Darussalam,Portable electric lamps eg torchlight magnetos lamp etc (u)
42,851310000,Brunei Darussalam,Portable electric lamps eg torchlight magnetos lamp etc (u)
43,85131010,Brunei Darussalam,Miner's helmet lamps (u)
44,8513101000,Brunei Darussalam,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
45,85131020,Brunei Darussalam,Quarrymen's lamps (u)
46,85131090,Brunei Darussalam,Portable electrical lamps designed to function by their own source of energy
47,8513109000,Brunei Darussalam,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
48,8513103000,Brunei Darussalam,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
49,8513102000,Brunei Darussalam,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
50,85131030,Brunei Darussalam,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
51,8513109000,Myanmar,Portable electrical lamps designed to function by their own source of energy: Other
52,8513101000,Myanmar,Portable electrical lamps designed to function by their own source of energy: Miners cap lamps
53,8513100000,Myanmar,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
54,85131000000,Burundi,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
55,85131010000,Burundi,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12: Lamps: Miner’s safety lamps"
56,85131020,Burundi,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
57,85131020000,Burundi,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
58,85131090,Burundi,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie: Lampes électriques portatives autres que celles pour mineurs"
59,85131090000,Burundi,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12: Lamps: Other"
60,8513100000,Belarus,Portable electrical lamps designed to function by their own source of energy
61,85131090,Cambodia,Portable electrical lamps designed to function by their own source of energy: Lamps: Other
62,85131030,Cambodia,Portable electrical lamps designed to function by their own source of energy: miners’ helmet lamps and quarrymen’s lamps
63,85131010,Cambodia,Portable electrical lamps designed to function by their own source of energy: Lamps: Miners cap lamps
64,85131000000,Cameroon,Lampes électriques portatives
65,85131000,Cameroon,Lampes électriques portatives
66,85131000,Canada,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
67,8513101010,Canada,Flashlights
68,8513101020,Canada,Electric miners safety lamp
69,8513101000,Canada,"Portable electrical lamps designed to function by their own source of energy Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12: Lamps: Flashlights;
Miners' safety lamps"
70,8513109000,Canada,"Portable electic lamp,using their own source of energy,o/t equip of hd 85.12,nes"
71,8513100000,Cabo Verde,"Lanternas de bolso e outras lanternas eléctricas portáteis, destinadas a funcionar por meio da sua própria fonte de energia"
72,8513100000,Central African Republic,Lampes electriques portatives
73,85131000,Central African Republic,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie"
74,85131000,Sri Lanka,Portable electrical lamps designed to function by their own source of energy
75,85131090,Sri Lanka,Portable electrical lamps designed to function by their own source of energyOther
76,85131010,Sri Lanka,"Portable electrical lamps designed to function by their own source of energy12v,DC portable solar lanterns"
77,85131010,Chile,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía: lámparas de seguridad (para mineros y similares)
78,85131011,Chile,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
79,85131019,Chile,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
80,85131020,Chile,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía: linternas de pilas
81,85131090,Chile,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía: las demás
82,85131021,Chile,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
83,85131029,Chile,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
84,85131099,Chile,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
85,85131091,Chile,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
86,851310BB,China,Portable electrical lamps designed to function by their own source of energy: B2B cross-border e-commerce in simplified customs procedures
87,85131090,China,"Portable electric lamps with self-contained source of energy, nes"
88,85131010,China,Portable electric torches functioned by dry batteries
89,8513101000,Colombia,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía: de seguridad
90,8513109000,Colombia,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía: las demás
91,85131000,Comoros,Portable electrical lamps designed to function by their own source of energy
92,8513100000,Comoros,"Lampes electriques portatives, appareils d'eclairage du n 85.12 exclus"
93,85131000,Mayotte,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
94,85131000000,Congo,"Lampe électrique portative, ... fonctionner au moyen de leur propre source d'énergie …"
95,85131000,Cook Islands,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
96,8513100000,Costa Rica,Lamparas electricas portatiles que funcionen con su propia fuente de energia
97,85131000,Cuba,"Lamparas electricas portatiles que funcionen con su propia fuente de energia (por ejemplo: de pilas, de acumuladores o electromagneticas), excepto los aparatos de alumbrado de la partida 85.12: Lámparas"
98,8513100000,Benin,Portable electrical lamps designed to function by their own source of energy
99,85131000,Dominica,Portable electric lamp designd to function by thr own source of energy
100,85131000,Dominican Republic,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía
101,8513109000,Ecuador,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía: las demás
102,8513101000,Ecuador,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía: de seguridad
103,85131000,El Salvador,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía
104,85131020,Ethiopia,"Portable electrical lamps designed to function by their own source of energy: minersnull safety lamps and morse signaling lamps,  without their own solar energy s"
105,85131010,Ethiopia,Portable electrical lamps designed to function by their own source of energy: minersnull safety lamps and morse signaling lamps with  their own solar energy sourc
106,85131040,Ethiopia,"Portable electrical lamps designed to function by their own source of energy: flash-lights, without their own solar energy sources"
107,85131030,Ethiopia,"Portable electrical lamps designed to function by their own source of energy: flash-lights, with their own solar energy source"
108,85131090,Ethiopia,Portable electrical lamps designed to function by their own source of energy: other
109,85131050,Ethiopia,"Portable electrical lamps designed to function by their own source of energy: other, with their own solar energy sources"
110,85131090,Eritrea,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
111,85131010,Eritrea,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
112,85131000,Fiji,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading No. 85.12 : Lamps"
113,85131000,French Polynesia,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie"
114,85131000,Gabon,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
115,85131000000,Georgia,Portable electrical lamps designed to function by their own source of energy
116,851310000,Georgia,Portable electrical lamps designed to function by their own source of energy
117,85131000,Gambia,Portable electric lamps worked by dry batteries accumulators magnetos
118,85131000,"Palestine, State of",Portable electric lamp designd to function by thr own source of energy
119,85131010,"Palestine, State of",Portable electrical lamps designed to function by their own source of energy + detailed label not available +
120,85131090,"Palestine, State of",Portable electrical lamps designed to function by their own source of energy + detailed label not available +
121,8513100000,Ghana,Portable electric lamp designd to function by thr own source of energy
122,85131000,Kiribati,Portable electrical lamps designed to function by their own source of energy
123,851310000,Greenland,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
124,85131000,Grenada,Portable electrical lamps designed to function by their own source of energy
125,85131000,Guatemala,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía
126,8513100000,Guinea,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie"
127,8513100000,Guyana,Portable electrical lamps designed to function by their own source of energy
128,85131000,Haiti,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie"
129,85131090,Haiti,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
130,85131010,Haiti,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
131,8513100000,Honduras,Lamparas electricas portatiles que funcionen con su propia fuente de energia
132,85131010,"Hong Kong, China",Torches (flashlights) and hand lanterns
133,85131090,"Hong Kong, China",Other portable electric lamps
134,85131000,Iceland,Portable electrical lamps designed to function by their own source of energy
135,85131090,Indonesia,portable electric lamps; other than miners’ helmet lamps and quarrymen’s lamps
136,85131030,Indonesia,miners’ helmet lamps and quarrymen’s lamps
137,851310100,Indonesia,"Portable electrical lamps designed to function by their own source of energy: Miner's lamp, quarry men's lamps"
138,8513102000,Indonesia,Quarrymens lamps
139,8513103000,Indonesia,"Lamps; portable, electric, designed to function by their own source of energy (excluding lighting equipment of heading no. 8512) - Miners’ helmet lamps and quarrymen’s lamps"
